Total.Enrollment,Grade.PK,Grade.K,Grade.1,Grade.2,Grade.3,Grade.4,Grade.5,Grade.6,Grade.7,Grade.8,Grade.9,Grade.10,Grade.11,Grade.12,Female,Male,Asian,Black,Hispanic,Others,White,Disabled.Students,English.Learners,Poverty
355,35,62,53,47,55,51,52,0,0,0,0,0,0,0,161,194,24,40,139,31,121,91,21,188
244,0,0,0,0,0,0,0,79,72,93,0,0,0,0,112,132,32,51,152,5,4,68,39,174
235,0,0,0,0,0,0,0,81,76,78,0,0,0,0,105,130,38,54,132,5,6,77,32,170
264,0,0,0,0,0,0,0,100,84,80,0,0,0,0,117,147,40,59,154,6,5,88,20,183
283,0,0,0,0,0,0,0,101,97,85,0,0,0,0,126,157,41,77,156,4,5,103,29,195
256,0,0,0,0,0,0,0,70,90,96,0,0,0,0,111,145,35,70,145,2,4,98,23,205
299,0,0,0,0,0,0,0,0,0,0,90,80,60,69,114,185,98,75,116,2,8,78,84,272
304,0,0,0,0,0,0,0,0,0,0,102,100,51,51,115,189,92,74,125,2,11,67,59,272
343,0,0,0,0,0,0,0,0,0,0,120,105,69,49,148,195,96,93,142,2,10,68,47,303
392,0,0,0,0,0,0,0,0,0,0,136,111,78,67,176,216,119,94,166,2,11,58,35,351
222,0,0,0,0,0,0,0,0,0,0,11,138,49,24,130,92,3,100,107,1,11,19,4,176
465,0,0,0,0,0,0,0,0,0,0,160,130,94,81,198,267,141,100,206,3,15,79,46,406
649,0,0,0,0,0,0,0,90,89,82,101,100,91,96,320,329,64,146,370,8,61,188,12,486
666,0,0,0,0,0,0,0,103,91,87,94,101,93,97,313,353,62,143,376,13,72,183,8,494
677,0,0,0,0,0,0,0,95,103,93,103,96,97,90,334,343,73,139,361,23,81,191,6,471
699,0,0,0,0,0,0,0,108,91,107,107,96,101,89,335,364,78,126,381,21,93,200,4,475
683,0,0,0,0,0,0,0,99,105,94,95,100,93,97,317,366,81,113,367,22,100,180,6,442
224,0,0,0,0,0,0,0,0,0,0,28,70,66,60,120,104,5,83,127,1,8,32,10,180
179,0,0,0,0,0,0,0,0,0,0,29,49,47,54,102,77,2,76,97,1,3,31,16,147
215,0,0,0,0,0,0,0,0,0,0,17,85,50,63,126,89,3,79,129,1,3,45,15,153
212,0,0,0,0,0,0,0,0,0,0,11,53,74,74,123,89,1,76,127,1,7,45,11,145
203,0,0,0,0,0,0,0,0,0,0,16,65,79,43,117,86,1,70,121,2,9,57,16,174
401,0,0,0,0,0,0,0,0,0,0,150,109,77,65,243,158,26,165,196,7,7,97,33,337
363,0,0,0,0,0,0,0,0,0,0,112,119,52,80,206,157,21,145,185,2,10,103,33,312
272,0,0,0,0,0,0,0,0,0,0,81,83,50,58,166,106,9,115,142,1,5,76,22,245
204,0,0,0,0,0,0,0,0,0,0,51,58,47,48,126,78,6,72,121,1,4,60,18,186
148,0,0,0,0,0,0,0,0,0,0,39,33,38,38,88,60,7,47,88,2,4,38,10,138
551,0,0,0,0,0,0,0,0,0,0,0,216,219,116,236,315,380,48,109,9,5,13,409,236
528,0,0,0,0,0,0,0,0,0,0,0,181,192,155,228,300,343,48,125,5,7,20,365,203
564,0,0,0,0,0,0,0,0,0,0,0,216,190,158,252,312,333,68,149,6,8,29,354,198
559,0,0,0,0,0,0,0,0,0,0,0,276,146,137,248,311,347,60,139,3,10,30,390,186
557,0,0,0,0,0,0,0,0,0,0,0,212,200,145,237,320,318,58,165,6,10,26,391,417
1725,0,98,111,112,116,138,112,156,138,134,179,196,123,112,885,840,559,160,195,69,742,67,5,479
1735,0,100,112,114,115,113,134,150,137,137,121,189,194,119,894,841,577,158,190,88,722,66,2,490
1753,0,123,111,113,115,117,116,144,122,137,143,139,185,188,885,868,579,153,198,91,732,82,7,478
1745,0,100,151,124,118,113,113,154,137,121,161,149,126,178,866,879,579,140,193,113,720,107,7,441
1734,0,100,116,149,122,116,112,152,149,136,145,163,146,128,831,903,575,134,204,129,692,139,14,395
230,0,0,0,0,0,0,0,0,0,0,13,63,91,63,134,96,8,89,120,2,11,19,5,172
233,0,0,0,0,0,0,0,0,0,0,7,62,65,99,136,97,9,78,129,2,15,20,8,172
239,0,0,0,0,0,0,0,0,0,0,29,56,74,80,124,115,9,82,131,4,13,29,6,185
241,0,0,0,0,0,0,0,0,0,0,34,80,73,54,132,109,10,95,127,4,5,33,7,201
560,0,0,0,0,0,0,0,0,0,0,107,152,154,147,341,219,90,77,106,19,268,4,2,162
545,0,0,0,0,0,0,0,0,0,0,129,129,134,153,326,219,93,94,101,9,248,6,0,191
535,0,0,0,0,0,0,0,0,0,0,147,139,119,130,315,220,122,86,88,11,228,5,0,222
548,0,0,0,0,0,0,0,0,0,0,140,154,140,114,338,210,141,88,97,9,213,16,0,250
588,0,0,0,0,0,0,0,0,0,0,168,136,152,132,371,217,167,80,100,11,230,29,1,256
377,0,0,0,0,0,0,0,124,123,130,0,0,0,0,204,173,86,58,159,9,65,101,18,261
368,0,0,0,0,0,0,0,123,123,122,0,0,0,0,191,177,81,53,149,14,71,96,13,255
371,0,0,0,0,0,0,0,127,124,120,0,0,0,0,195,176,87,59,138,12,75,90,11,257
374,0,0,0,0,0,0,0,128,124,122,0,0,0,0,200,174,99,60,132,11,72,103,14,251
373,0,0,0,0,0,0,0,125,122,126,0,0,0,0,198,175,86,51,144,14,78,99,8,257
496,53,70,73,77,76,68,79,0,0,0,0,0,0,0,236,260,338,55,97,5,1,99,161,350
465,57,69,64,61,67,79,68,0,0,0,0,0,0,0,214,251,310,52,95,2,6,81,146,311
400,28,48,58,60,61,70,75,0,0,0,0,0,0,0,189,211,257,49,87,3,4,101,100,246
356,34,50,48,55,53,53,63,0,0,0,0,0,0,0,178,178,216,41,84,4,11,89,83,204
318,24,44,51,46,47,55,51,0,0,0,0,0,0,0,158,160,170,56,82,4,6,81,64,250
822,35,118,150,124,130,125,140,0,0,0,0,0,0,0,392,430,707,35,66,0,14,135,387,792
760,33,96,116,149,120,127,119,0,0,0,0,0,0,0,355,405,651,33,64,0,12,137,317,740
672,21,86,84,107,139,117,118,0,0,0,0,0,0,0,313,359,573,27,63,1,8,137,241,649
603,36,77,76,81,98,129,106,0,0,0,0,0,0,0,283,320,487,34,75,0,7,121,191,579
552,22,88,69,81,79,93,120,0,0,0,0,0,0,0,261,291,434,29,82,2,5,119,180,533
808,48,126,130,163,108,120,113,0,0,0,0,0,0,0,394,414,57,41,106,54,550,156,31,128
809,51,112,142,122,159,111,112,0,0,0,0,0,0,0,393,416,52,44,95,53,565,150,35,132
789,53,129,108,126,118,156,99,0,0,0,0,0,0,0,375,414,56,42,97,41,553,152,34,132
778,50,132,118,103,117,111,147,0,0,0,0,0,0,0,393,385,52,42,105,41,538,146,32,115
753,54,126,134,113,98,120,108,0,0,0,0,0,0,0,369,384,65,43,104,39,502,139,24,157
751,0,122,136,130,134,108,121,0,0,0,0,0,0,0,354,397,78,17,66,41,549,131,11,44
726,0,117,126,136,126,126,95,0,0,0,0,0,0,0,335,391,82,18,54,25,547,123,18,55
700,0,105,113,120,124,124,114,0,0,0,0,0,0,0,321,379,91,15,50,18,526,135,13,46
683,40,100,99,104,112,119,109,0,0,0,0,0,0,0,330,353,89,14,50,18,512,114,22,44
694,78,100,105,93,97,106,115,0,0,0,0,0,0,0,340,354,103,17,45,12,517,102,20,80
820,18,158,158,139,134,102,111,0,0,0,0,0,0,0,373,447,105,78,221,18,398,122,25,261
872,18,127,167,181,144,132,103,0,0,0,0,0,0,0,391,481,111,64,242,31,424,127,31,255
921,18,146,133,161,186,148,129,0,0,0,0,0,0,0,434,487,133,63,234,39,452,127,32,260
931,18,146,154,131,156,181,145,0,0,0,0,0,0,0,464,467,139,68,224,42,458,125,32,262
923,18,140,155,146,131,150,183,0,0,0,0,0,0,0,463,460,146,57,223,60,437,122,30,271
576,36,100,95,106,100,68,71,0,0,0,0,0,0,0,298,278,144,84,171,37,140,71,32,300
634,36,102,113,92,113,109,69,0,0,0,0,0,0,0,321,313,158,75,197,43,161,78,33,314
639,30,90,107,111,94,103,104,0,0,0,0,0,0,0,323,316,161,76,190,43,169,83,25,298
622,34,87,93,113,102,93,100,0,0,0,0,0,0,0,323,299,142,89,178,54,159,87,20,286
650,36,100,96,98,121,102,97,0,0,0,0,0,0,0,342,308,147,117,183,54,149,101,29,309
594,0,123,104,96,107,90,74,0,0,0,0,0,0,0,283,311,59,19,81,37,398,102,7,69
624,18,116,114,97,96,96,87,0,0,0,0,0,0,0,313,311,57,18,85,63,401,114,9,54
631,36,99,100,108,97,95,96,0,0,0,0,0,0,0,324,307,54,18,84,73,402,115,16,53
650,35,126,103,94,103,96,93,0,0,0,0,0,0,0,336,314,70,18,93,67,402,119,25,54
673,36,127,125,96,96,97,96,0,0,0,0,0,0,0,346,327,80,10,95,73,415,107,21,63
791,30,126,125,123,122,147,118,0,0,0,0,0,0,0,406,385,79,19,71,59,563,145,12,40
757,35,100,134,122,116,116,134,0,0,0,0,0,0,0,388,369,71,16,72,80,518,128,9,31
721,36,121,91,131,115,118,109,0,0,0,0,0,0,0,375,346,66,13,69,75,498,121,14,29
699,36,97,124,91,125,114,112,0,0,0,0,0,0,0,379,320,57,13,62,84,483,113,10,31
694,36,119,100,119,90,123,107,0,0,0,0,0,0,0,376,318,54,9,72,80,479,101,11,60
792,36,101,150,129,136,116,124,0,0,0,0,0,0,0,362,430,741,10,26,0,15,106,239,560
776,36,105,104,139,135,133,124,0,0,0,0,0,0,0,358,418,716,7,29,4,20,118,230,520
737,46,102,99,94,132,132,132,0,0,0,0,0,0,0,341,396,686,2,30,4,15,122,202,455
654,38,94,90,94,89,122,127,0,0,0,0,0,0,0,312,342,598,4,34,4,14,118,209,371
653,42,112,99,95,90,86,129,0,0,0,0,0,0,0,307,346,579,9,44,5,16,110,225,493
184,0,0,0,0,0,0,0,0,0,0,43,69,29,43,110,74,5,49,120,2,8,59,13,155
169,0,0,0,0,0,0,0,0,0,0,44,50,68,7,109,60,2,48,109,1,9,43,8,141
186,0,0,0,0,0,0,0,0,0,0,50,39,52,45,121,65,3,50,118,3,12,44,11,159
179,0,0,0,0,0,0,0,0,0,0,56,51,37,35,130,49,3,55,110,3,8,46,9,160
165,0,0,0,0,1,0,0,0,0,0,38,57,32,37,123,42,3,47,107,3,5,51,13,145
304,18,51,44,44,43,45,59,0,0,0,0,0,0,0,141,163,59,40,151,10,44,93,36,171
350,36,53,55,46,57,54,49,0,0,0,0,0,0,0,172,178,74,43,166,7,60,91,43,209
370,48,52,48,62,47,59,54,0,0,0,0,0,0,0,176,194,87,45,157,8,73,93,35,176
389,49,70,53,50,59,51,57,0,0,0,0,0,0,0,208,181,81,47,177,6,78,86,38,182
453,68,66,73,62,59,64,61,0,0,0,0,0,0,0,232,221,81,72,205,14,81,90,35,265
598,0,95,116,102,92,103,90,0,0,0,0,0,0,0,287,311,66,18,93,48,373,96,40,72
596,0,104,89,110,98,94,101,0,0,0,0,0,0,0,273,323,78,14,85,59,360,106,28,66
573,0,102,102,76,101,95,97,0,0,0,0,0,0,0,273,300,88,12,74,59,340,105,23,66
576,0,117,97,100,67,99,96,0,0,0,0,0,0,0,282,294,95,11,66,59,345,111,21,56
614,20,118,104,112,101,62,97,0,0,0,0,0,0,0,313,301,108,8,64,57,377,92,23,54
348,0,49,60,60,60,62,57,0,0,0,0,0,0,0,188,160,74,3,26,28,217,44,0,23
350,0,52,59,62,60,55,62,0,0,0,0,0,0,0,184,166,79,3,22,28,218,45,0,18
345,0,49,61,60,62,60,53,0,0,0,0,0,0,0,175,170,93,1,18,31,202,40,0,15
359,0,50,64,64,63,60,58,0,0,0,0,0,0,0,179,180,108,1,17,38,195,41,1,15
358,0,50,60,64,64,63,57,0,0,0,0,0,0,0,174,184,112,1,22,42,181,34,0,20
472,36,115,67,71,63,43,77,0,0,0,0,0,0,0,218,254,65,7,72,31,297,85,15,19
442,36,86,98,64,66,52,40,0,0,0,0,0,0,0,213,229,64,10,66,28,274,70,19,17
425,36,70,69,86,52,62,50,0,0,0,0,0,0,0,195,230,70,8,61,22,264,70,19,15
412,36,75,55,65,76,48,57,0,0,0,0,0,0,0,199,213,67,9,66,19,251,72,16,12
433,36,97,64,53,62,76,45,0,0,0,0,0,0,0,212,221,75,7,62,34,255,59,20,85
